한글,영어
문자열,input
정수,int
리스트,string
튜플,type
딕셔너리,list
타입,class
출력,print
반복문,python
변수,tuple
인자,for
매개변수,if
객체,while
저장소,thread
컴파일,random
로컬,with
푸시,commit
원격,github
함수,push
기계어,code
빌드,Issue
라이브러리,requests
프레임워크,action
플랫폼,project
어셈블리어,wiki
빌드,api
응답,RSS
요청,JAVA
코드,GitBash
프로젝트,CSS
가독성,Algorithm
가변형,Array
간선,binary tree
값,bool
버블정렬,break
관계연산자,char
괄호,circle
교집합,clear
그룹,copy
꼬리,count
노드,current
다항식,decimal
데큐,degree
도착점,dict
리터럴,edge
링크,end
메모리,factorial
머리,find
무한루프,float
무한반복,for
부모 노드,front
분할 정복,get
비선형,global
불변형,graph
산술연산자,head
삽입,high
색인,IDLE
서브트리,IDLE
선택정렬,index
순차파일,insert
시간복잡도,join
신장트리,key
알고리즘,Kruskal
오버헤드,leaf
원형 큐,len
원 형태,Link
의사코드,map
이진검색,memory
이진탐색,mutable
이진트리,None
인큐,operator
임시공간,overhead
자동종료,parameter
재귀,peek
재귀함수,pivot
주석,pop
지역변수,pre
차수,prim
차집합,pycharm
추출,Queue
출발점,QuickSort
콜론,range
퀵정렬,rear
큐,recursion
큰따옴표,rindex
팝,Root
팩토리얼,Search
편향이진트리,set
평균값,soft
포화이진트리,sorted
피보나치수,sorted
픽,spider
해시함수,split
헤드,stack
헤드노드,start
환형큐,str
회문,URL
최솟값,Value
첨자,Vertex
홀수,Values
짝수,web
